1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71
_programme_ =  ; EPSILON ;  ENTIER ;  ID_FCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_optDecVariables_ =  ; EPSILON ;  ENTIER ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeDecVariables_ =  ; ENTIER ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeDecVariablesBis_ =  ; EPSILON ;  VIRGULE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_declarationVariable_ =  ; ENTIER ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_optTailleTableau_ =  ; EPSILON ;  CROCHET_OUVRANT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeDecFonctions_ =  ; EPSILON ;  ID_FCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_declarationFonction_ =  ; ID_FCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeParam_ =  ; PARENTHESE_OUVRANTE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_optListeDecVariables_ =  ; EPSILON ;  ENTIER ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instruction_ =  ; POINT_VIRGULE ;  ID_VAR ;  ID_FCT ;  ACCOLADE_OUVRANTE ;  SI ;  TANTQUE ;  RETOUR ;  ECRIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionAffect_ =  ; ID_VAR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionBloc_ =  ; ACCOLADE_OUVRANTE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeInstructions_ =  ; POINT_VIRGULE ;  EPSILON ;  ID_VAR ;  ID_FCT ;  ACCOLADE_OUVRANTE ;  SI ;  TANTQUE ;  RETOUR ;  ECRIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionSi_ =  ; SI ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_optSinon_ =  ; EPSILON ;  SINON ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionTantque_ =  ; TANTQUE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionAppel_ =  ; ID_FCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionRetour_ =  ; RETOUR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionEcriture_ =  ; ECRIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_instructionVide_ =  ; POINT_VIRGULE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_expression_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  NON ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_expressionBis_ =  ; EPSILON ;  OU ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_conjonction_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  NON ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_conjonctionBis_ =  ; EPSILON ;  ET ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_negation_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  NON ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_comparaison_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_comparaisonBis_ =  ; EPSILON ;  EGAL ;  INFERIEUR ;  SUPERIEUR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_expArith_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_expArithBis_ =  ; EPSILON ;  PLUS ;  MOINS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_terme_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_termeBis_ =  ; EPSILON ;  FOIS ;  DIVISE ;  MODULO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_facteur_ =  ; ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_var_ =  ; ID_VAR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_optIndice_ =  ; EPSILON ;  CROCHET_OUVRANT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_appelFct_ =  ; ID_FCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeExpressions_ =  ; EPSILON ;  ID_VAR ;  NOMBRE ;  ID_FCT ;  PARENTHESE_OUVRANTE ;  NON ;  LIRE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_listeExpressionsBis_ =  ; EPSILON ;  VIRGULE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;